#id,type_id,process_area_id,category_id,maturity_level_id
1,1,1,1,2
2,1,2,1,3
3,1,3,1,3
4,1,4,1,3
5,1,5,5,2
6,3,6,4,3
7,3,7,7,5
8,1,7,7,5
9,2,7,7,5
10,3,8,7,2
11,1,8,7,2
12,2,8,7,2
13,3,9,7,3
14,1,9,7,3
15,2,9,7,3
16,3,10,6,3
17,1,11,5,3
18,2,11,5,3
19,3,12,4,3
20,3,13,7,2
21,1,13,7,2
22,2,13,7,2
23,3,14,3,5
24,1,14,3,5
25,2,14,3,5
26,3,15,3,3
27,1,15,3,3
28,2,15,3,3
29,3,16,3,3
30,1,16,3,3
31,2,16,3,3
32,3,17,3,4
33,1,17,3,4
34,2,17,3,4
35,3,18,3,3
36,1,18,3,3
37,2,18,3,3
38,2,19,7,2
39,3,19,7,2
40,1,19,7,2
41,2,20,2,3
42,1,21,5,2
43,2,21,5,2
44,1,22,5,2
45,2,22,5,2
46,2,23,5,4
47,1,23,5,4
48,3,24,4,4
49,2,25,2,3
50,2,26,5,2
51,3,26,4,2
52,1,26,5,2
53,3,27,4,3
54,2,27,5,3
55,1,27,5,3
56,3,28,4,3
57,3,29,6,2
58,3,30,6,3
59,3,31,6,3
60,1,32,5,2
61,3,33,6,3
62,2,34,5,2
63,3,34,4,2
64,2,35,2,3
65,2,36,2,3
66,2,37,2,3
67,3,38,4,2
68,3,39,4,2